iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GEO,Georgia,MtCO2e,33.49,25.51,19.87,15.97,10.40,8.14,6.33,5.48,4.91,4.38,4.63,3.38,2.82,3.02,3.21,4.07,4.53,5.45,4.67,5.29,5.00,5.95,6.61,7.41,8.03,8.73,9.12,9.12,8.97,9.53,9.31
DEU,Germany,MtCO2e,940.01,918.81,878.38,872.53,860.56,859.10,889.53,857.38,849.71,817.82,815.03,834.18,820.56,823.28,807.00,789.33,801.07,769.35,776.11,722.25,760.64,733.09,746.84,763.65,723.11,729.68,734.49,718.79,694.54,645.40,589.99
GRC,Greece,MtCO2e,69.86,70.10,72.32,72.22,73.81,76.48,76.38,77.35,80.74,81.03,87.92,90.04,90.28,93.85,93.48,95.16,94.10,97.90,94.35,90.16,83.37,82.12,76.99,68.85,65.73,64.54,63.08,63.11,61.60,56.63,48.02
HUN,Hungary,MtCO2e,65.67,63.45,57.14,57.36,56.60,56.25,57.34,55.82,56.13,56.69,53.28,54.92,54.17,56.77,55.06,54.72,54.16,52.52,51.75,46.87,47.15,46.34,42.75,40.25,40.06,42.71,43.54,48.67,48.32,46.24,43.84
ISL,Iceland,MtCO2e,1.90,1.87,1.90,1.94,2.05,1.96,2.23,2.11,2.10,2.05,2.16,2.11,2.21,2.19,2.26,2.21,2.25,2.32,2.12,2.08,1.95,1.87,1.86,2.03,2.05,2.06,1.63,1.67,1.70,1.64,1.45
IRL,Ireland,MtCO2e,30.08,30.68,30.75,30.92,31.96,32.57,33.84,34.83,37.36,38.81,40.83,42.96,42.07,41.96,42.39,44.29,44.92,44.23,43.80,39.26,39.24,35.52,35.83,34.58,34.10,35.44,37.22,35.89,35.56,33.92,31.97
ITA,Italy,MtCO2e,389.41,388.38,385.84,382.86,378.50,401.10,398.16,401.29,411.83,417.73,420.44,420.18,427.18,445.26,454.99,456.43,449.18,441.46,428.85,383.72,391.99,384.11,366.68,337.58,319.16,329.67,325.66,321.48,317.13,309.31,274.23
LIE,Liechtenstein,MtCO2e,0.20,0.21,0.21,0.22,0.20,0.20,0.21,0.22,0.23,0.23,0.22,0.21,0.22,0.23,0.23,0.23,0.23,0.20,0.22,0.21,0.19,0.18,0.19,0.19,0.16,0.16,0.15,0.16,0.14,0.15,0.14
LTU,Lithuania,MtCO2e,32.22,34.29,19.24,15.39,14.44,13.44,13.92,13.56,14.29,11.90,10.22,10.87,10.93,10.94,11.56,12.45,12.50,12.69,12.61,11.41,12.31,11.53,11.53,10.87,10.46,10.55,10.75,10.77,11.14,11.16,11.14
LUX,Luxembourg,MtCO2e,10.75,11.24,10.92,11.21,10.32,8.23,8.31,7.80,7.12,7.45,8.07,8.69,9.37,9.85,11.23,11.49,11.30,10.70,10.64,10.09,10.66,10.52,10.32,9.80,9.28,8.80,8.49,8.64,8.95,9.11,7.45
MKD,Macedonia,MtCO2e,8.59,8.38,8.33,8.64,8.35,8.31,9.86,8.79,9.65,8.88,8.52,8.67,8.13,8.83,8.54,8.88,8.85,9.33,9.12,8.51,8.33,9.16,8.80,7.86,7.44,7.14,6.96,7.44,6.95,7.96,6.80
MLT,Malta,MtCO2e,2.31,2.21,2.17,2.81,2.51,2.38,2.32,2.47,2.37,2.41,2.13,2.49,2.32,2.61,2.60,2.63,2.65,2.72,2.72,2.51,2.59,2.57,2.72,2.37,2.36,1.66,1.35,1.52,1.55,1.66,1.61
MNE,Montenegro,MtCO2e,1.92,1.36,1.48,1.29,1.26,1.33,1.55,1.67,1.76,1.21,1.52,1.67,1.77,1.89,2.04,2.00,2.18,2.10,2.69,1.75,2.58,2.54,2.33,2.27,2.22,2.36,2.15,2.27,2.50,2.60,2.53
NLD,Netherlands,MtCO2e,151.10,156.77,155.56,159.68,159.14,163.68,173.31,165.93,166.30,160.93,161.63,166.64,166.94,169.93,171.67,167.51,163.30,164.15,164.82,160.07,170.76,158.42,157.17,156.82,149.51,157.13,158.26,155.41,151.16,145.93,130.32
NOR,Norway,MtCO2e,28.67,26.73,29.54,31.59,33.57,33.51,33.73,35.62,36.99,38.81,33.39,33.88,33.51,36.28,36.64,35.59,36.41,36.89,36.04,36.60,39.36,38.32,38.04,38.90,38.92,39.62,38.89,38.41,37.84,36.94,35.45
POL,Poland,MtCO2e,344.76,346.21,337.83,338.87,333.11,333.34,349.10,337.89,312.08,302.80,289.66,288.67,282.65,293.16,296.78,296.30,308.11,306.33,301.63,291.50,307.52,303.21,296.97,292.43,279.27,282.74,293.27,305.77,304.10,287.26,271.53
PRT,Portugal,MtCO2e,37.89,39.50,43.64,42.60,44.01,47.23,45.35,47.37,52.06,58.38,57.85,57.76,61.69,56.91,58.12,61.39,56.45,54.63,52.83,53.08,47.56,47.05,45.67,43.74,42.84,46.93,46.40,50.74,47.21,42.34,36.66
ROU,Romania,MtCO2e,168.19,139.55,123.28,114.86,112.38,117.72,121.00,110.59,96.60,82.32,86.35,92.45,91.09,95.49,92.34,91.51,95.60,92.67,91.27,77.61,74.82,80.96,78.69,69.40,68.59,69.98,68.40,70.90,71.69,70.11,64.76
SRB,Serbia,MtCO2e,61.91,52.20,47.99,42.72,38.90,44.55,51.65,56.31,56.21,40.01,42.94,45.00,48.58,52.15,56.35,49.50,51.69,50.10,48.39,45.79,46.05,50.20,44.91,45.70,38.31,44.72,45.89,46.55,45.32,45.14,45.34
ESP,Spain,MtCO2e,202.67,210.40,221.93,208.17,216.95,228.21,218.00,235.85,242.41,263.87,278.58,279.78,297.22,302.62,319.27,333.71,325.04,337.86,309.88,276.73,262.94,265.95,261.53,236.15,233.08,248.04,238.84,255.27,248.71,232.82,194.51
SWE,Sweden,MtCO2e,52.07,53.10,55.66,55.41,57.38,56.93,62.42,56.28,57.23,56.13,51.99,51.17,52.74,54.00,52.31,48.77,47.29,45.72,44.63,41.50,46.66,43.09,40.52,38.99,37.59,37.58,37.14,36.68,34.31,33.61,32.30
CHE,Switzerland,MtCO2e,40.75,43.42,43.59,41.54,40.48,41.45,42.22,41.14,42.64,42.92,41.98,43.40,41.88,43.19,43.53,44.00,43.63,41.66,43.10,41.82,43.25,39.27,40.71,41.70,37.91,37.38,37.90,36.94,35.74,35.64,33.24
UKR,Ukraine,MtCO2e,688.62,651.93,565.96,492.92,410.68,395.84,343.95,325.83,306.50,303.19,295.12,298.08,301.12,326.62,302.87,290.62,298.51,305.98,294.90,249.03,266.04,279.44,273.83,266.87,234.43,187.79,198.03,171.40,181.90,170.65,161.64
GBR,United Kingdom,MtCO2e,554.48,564.69,552.43,535.85,528.82,520.52,539.06,517.48,519.16,516.22,524.56,539.42,524.80,537.17,537.10,534.98,536.17,524.39,510.13,462.77,478.85,441.55,464.11,449.75,411.39,396.68,377.60,362.43,356.19,341.49,304.75
Data source,Climate Watch
Data for,Location: European Union (27), Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malta, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Spain, Sweden, Switzerland, Ukraine, United Kingdom. Sectors/Subsectors: Energy. Gases: CO2. Calculation: Total. Show data by Countries
