iso,Country/Region,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
LUX,Luxembourg,MtCO2e,11.40,11.47,11.43,11.34,12.19,12.08,11.50,11.26,12.16,13.08,13.62,13.06,13.33,13.98,14.22,11.66,11.68,10.77,11.68,11.96,10.86,9.25,8.68,8.11,8.75,9.01,8.81,8.41,8.64,9.36,11.22,11.86,11.62,11.85,10.99,8.65,8.71,8.06,7.16,7.59,8.14,8.71,9.47,10.00,11.32,11.59,11.43,10.83,10.72,10.21,10.76,10.64,10.42,9.91,9.39,8.95,8.67,8.82,9.13,9.30,7.62,8.03,7.13
MKD,Macedonia,MtCO2e,2.98,3.13,3.21,3.57,4.05,4.17,4.13,4.17,4.46,4.62,6.07,6.53,6.07,7.29,7.31,7.62,7.85,7.61,8.52,9.28,9.10,9.89,9.06,9.79,10.35,10.57,11.06,10.79,11.15,11.12,11.09,7.78,8.39,7.60,7.90,7.93,9.42,8.45,9.65,8.78,8.47,8.29,7.83,8.53,8.23,8.60,8.65,9.01,8.94,8.24,8.19,8.84,8.49,7.49,7.20,6.76,6.65,7.15,6.67,7.65,6.95,7.69,7.59
MLT,Malta,MtCO2e,0.34,0.29,0.33,0.41,0.50,0.47,0.41,0.52,0.64,0.65,0.66,0.66,0.84,0.81,0.74,0.67,0.76,0.80,0.93,0.91,1.02,1.14,1.31,1.00,1.36,1.20,1.48,1.85,2.01,2.17,2.43,2.27,2.29,2.88,2.66,2.45,2.53,2.55,2.52,2.57,2.47,2.74,2.75,2.96,2.85,2.66,2.67,2.73,2.69,2.53,2.60,2.58,2.72,2.38,2.36,1.66,1.36,1.53,1.55,1.65,1.60,1.61,1.65
MNE,Montenegro,MtCO2e,0.53,0.56,0.57,0.64,0.72,0.74,0.74,0.74,0.79,0.82,1.08,1.16,1.09,1.30,1.30,1.36,1.40,1.37,1.53,1.66,1.63,1.77,1.63,1.76,1.85,1.89,1.97,1.92,1.99,1.98,1.96,1.39,1.48,1.29,1.26,1.33,1.55,1.67,1.76,1.21,1.52,1.67,1.77,1.89,2.04,1.75,2.06,2.06,2.61,1.68,2.42,2.41,2.21,2.15,2.11,2.24,2.02,2.10,2.40,2.48,2.41,2.30,2.29
NLD,Netherlands,MtCO2e,72.55,74.88,82.29,90.12,95.36,98.94,101.99,105.03,111.75,114.09,139.82,138.65,155.60,163.45,158.24,151.00,167.77,162.16,168.42,185.79,175.47,163.12,132.62,136.55,143.28,146.29,143.21,150.82,144.97,160.95,160.19,168.63,168.57,168.55,169.22,170.92,180.23,173.11,174.20,168.92,170.10,175.24,173.67,177.23,179.14,175.11,170.30,169.99,173.14,167.74,179.77,166.60,163.08,162.26,154.82,161.24,162.05,159.40,155.51,150.26,134.65,137.63,123.08
NOR,Norway,MtCO2e,12.52,12.71,13.36,14.25,15.41,15.60,18.64,18.24,19.98,20.96,26.69,25.60,26.99,28.10,25.29,28.38,31.12,31.01,31.14,32.95,29.65,29.82,28.90,29.95,31.83,30.23,32.62,31.05,33.41,31.86,31.43,30.53,31.37,32.54,34.36,34.84,37.63,37.79,38.01,38.28,37.69,39.38,39.04,40.67,41.29,40.37,41.07,41.40,40.92,40.24,42.61,41.85,41.51,41.67,42.20,42.74,41.98,41.77,42.08,40.56,39.14,39.08,38.72
POL,Poland,MtCO2e,196.32,203.60,212.88,227.20,238.55,242.25,247.47,253.52,270.07,287.52,298.13,306.47,322.71,328.10,338.24,366.03,388.84,408.07,420.89,432.57,455.01,402.64,413.84,413.92,425.22,438.06,445.12,456.96,437.15,414.91,361.22,360.80,351.78,352.92,347.46,348.22,363.80,352.19,325.01,314.83,303.23,301.20,293.99,306.19,311.16,309.83,322.22,320.82,314.92,303.43,320.23,317.50,311.09,306.97,294.01,297.24,307.66,320.35,318.75,300.78,285.45,313.87,305.48
PRT,Portugal,MtCO2e,7.62,8.46,8.60,9.30,10.20,10.75,10.98,11.49,12.07,13.59,14.08,15.17,16.95,18.34,19.01,19.62,20.56,20.57,20.17,22.45,24.10,24.37,26.26,27.13,26.28,24.71,27.78,28.59,29.96,38.19,41.52,43.22,47.16,45.59,46.03,49.92,47.34,49.87,54.41,61.80,60.59,60.21,64.35,59.54,61.94,64.13,59.48,56.74,54.58,52.62,48.24,47.59,45.82,43.26,42.93,47.28,46.18,50.61,47.18,43.27,37.59,36.07,37.73
ROU,Romania,MtCO2e,51.89,54.08,62.09,67.30,69.69,75.97,81.18,88.90,96.61,107.81,115.97,121.48,127.72,139.94,145.24,156.38,168.10,171.34,186.42,188.14,188.68,190.65,188.14,193.44,182.13,188.09,194.90,204.87,205.40,207.36,169.18,136.71,126.99,117.85,116.14,120.47,123.86,113.12,99.36,84.08,88.69,94.48,94.78,99.09,98.14,96.44,97.97,102.21,100.99,83.30,81.07,87.73,86.09,74.82,74.12,72.75,71.48,74.26,74.60,71.02,68.46,71.47,68.04
SRB,Serbia,MtCO2e,15.27,16.04,16.43,18.27,20.73,21.32,21.08,21.26,22.68,23.49,30.84,33.21,30.93,36.93,37.05,38.66,39.81,38.58,43.10,46.93,45.98,50.34,46.05,49.82,52.73,53.88,56.31,54.96,56.77,56.66,56.39,39.53,42.82,37.62,36.33,38.37,44.81,48.32,50.81,35.03,43.90,48.10,51.02,54.76,59.01,50.45,59.51,58.19,50.34,44.81,44.65,47.93,42.85,43.77,36.52,43.06,44.28,44.74,43.45,43.39,44.19,42.82,42.42
ESP,Spain,MtCO2e,46.03,50.33,56.37,54.91,60.12,66.23,71.65,79.74,89.62,88.67,108.51,120.03,135.15,144.09,161.93,169.49,185.72,181.55,185.26,189.67,200.87,192.79,195.00,189.43,186.12,189.01,178.18,179.11,186.07,212.70,213.45,223.83,233.48,225.42,235.57,248.48,236.24,247.77,255.15,277.70,288.94,290.47,309.86,313.82,329.70,344.43,335.41,343.19,315.06,279.80,266.31,268.26,263.01,237.59,238.29,254.80,243.58,257.28,252.05,234.93,199.19,215.39,231.13
SWE,Sweden,MtCO2e,47.78,47.30,49.75,53.68,58.58,60.70,70.66,67.00,75.67,84.43,90.27,82.55,82.78,85.20,78.18,79.20,86.81,84.43,78.30,83.67,70.48,68.22,61.09,57.13,56.10,61.28,60.97,58.55,56.28,54.27,55.33,55.78,55.69,55.61,58.00,57.31,61.25,56.32,56.65,53.80,52.63,53.51,54.36,55.02,54.19,51.45,50.81,50.06,47.91,44.56,50.27,46.32,43.73,42.44,40.73,40.48,40.64,39.55,39.05,38.59,34.44,36.74,36.26
CHE,Switzerland,MtCO2e,18.00,18.58,22.28,27.30,25.99,28.33,29.35,30.45,33.84,35.80,37.87,39.31,40.09,43.36,38.83,37.19,38.68,39.23,40.34,37.92,38.39,36.66,34.56,38.00,37.06,37.67,40.07,37.92,38.20,36.71,41.29,43.59,43.62,41.40,40.27,41.14,42.03,41.16,42.74,42.56,41.62,43.05,41.51,42.73,43.19,43.62,43.22,41.19,42.57,41.44,42.82,38.79,40.18,41.12,37.12,36.80,37.20,36.20,34.93,34.79,32.37,33.86,33.46
UKR,Ukraine,MtCO2e,277.22,285.51,299.25,320.93,341.26,361.67,381.60,398.86,409.96,427.02,449.09,472.73,497.89,518.30,537.62,564.77,586.35,606.12,626.96,636.00,661.52,648.32,661.22,670.50,676.51,730.73,727.44,720.84,710.34,666.34,685.04,614.55,571.59,496.23,407.70,380.45,344.89,333.49,321.55,291.61,278.81,296.26,287.88,298.00,300.20,302.53,321.29,324.03,313.33,269.28,285.70,297.86,294.72,288.00,248.90,215.37,225.02,214.55,222.71,212.91,197.68,200.68,131.78
GBR,United Kingdom,MtCO2e,577.35,581.51,585.89,596.44,599.48,613.73,609.78,583.37,597.41,618.29,641.19,648.19,635.16,644.77,602.96,588.98,584.80,590.34,588.24,624.03,563.67,546.27,534.31,531.69,515.97,547.98,558.07,560.53,562.11,573.22,584.01,593.71,578.49,564.44,556.57,547.55,567.51,545.36,550.38,545.21,552.81,562.34,544.85,555.96,557.35,553.92,552.15,543.52,530.67,482.16,499.81,457.44,476.53,465.84,426.44,410.22,387.50,375.68,367.85,352.83,316.21,336.94,308.80
Data source,GCP
Data for,Location: European Union (27), Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malta, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Spain, Sweden, Switzerland, Ukraine, United Kingdom. Sectors/Subsectors: Coal, Gas, Oil. Gases: CO2. Calculation: Total. Show data by Regions
