iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
POL,Poland,MtCO2e,354.87,355.18,347.02,348.09,340.98,342.14,357.80,346.60,319.83,311.32,298.05,296.31,290.25,301.50,305.35,305.29,317.86,315.52,310.29,299.86,316.85,313.84,307.56,303.79,290.41,293.50,303.86,316.62,315.24,297.26,281.98,310.51
PRT,Portugal,MtCO2e,39.45,41.40,45.56,44.09,44.79,48.39,45.59,48.14,52.67,59.95,58.54,58.87,63.17,58.10,60.40,62.80,58.44,55.37,53.45,52.32,47.86,47.19,45.76,43.64,43.06,47.44,46.28,50.79,47.51,43.43,37.63,36.04
ROU,Romania,MtCO2e,150.80,124.03,116.87,107.77,105.55,107.97,112.19,102.36,89.60,76.12,79.68,84.74,83.54,87.14,84.68,83.32,85.84,90.75,91.55,77.84,74.25,80.44,80.01,69.61,68.63,67.54,66.26,69.13,69.51,66.12,63.21,66.29
ESP,Spain,MtCO2e,208.50,219.10,229.17,220.89,230.80,244.60,231.96,243.40,250.51,273.03,284.30,285.64,304.95,308.59,324.57,338.77,329.48,337.33,309.63,275.19,260.55,263.41,259.41,234.37,234.41,249.79,238.99,253.55,248.15,231.69,196.24,212.01
SWE,Sweden,MtCO2e,51.36,51.90,52.08,51.96,53.96,53.15,57.21,52.33,52.73,50.02,48.54,49.31,49.99,50.97,49.72,47.24,47.16,46.27,44.38,42.48,46.49,42.78,40.46,38.85,37.33,37.29,36.76,36.02,35.84,34.13,31.23,32.39
CHE,Switzerland,MtCO2e,40.91,43.24,43.27,41.12,40.01,40.91,41.77,40.89,42.48,42.30,41.34,42.78,41.23,42.44,42.88,43.34,42.97,40.96,42.35,41.25,42.60,38.59,39.98,40.91,36.91,36.57,36.96,35.98,34.69,34.57,32.15,33.62
UKR,Ukraine,MtCO2e,592.25,536.20,495.80,434.12,354.55,333.48,298.24,281.98,271.71,238.89,221.85,236.29,226.93,235.53,236.15,239.54,254.75,252.53,243.21,212.16,223.92,233.67,232.65,228.76,198.98,169.99,179.04,174.91,180.77,171.29,158.05,159.74
GBR,United Kingdom,MtCO2e,557.72,567.62,552.92,539.55,531.41,522.91,541.71,519.97,527.80,519.74,530.27,542.55,527.86,535.49,535.87,533.77,531.16,521.47,509.70,467.56,485.41,444.74,461.16,447.13,408.17,393.88,375.96,363.82,357.39,343.41,304.34,326.51
Data source,UNFCCC Annex I
Data for,Location: European Union (27), Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Ukraine, United Kingdom. Sectors/Subsectors: Energy. Gases: CO2. Calculation: Total. Show data by Countries
